Area Name ,Year ,Month,Date,Labor Force,Employment ,Unemployment 
Alameda,2018,December,Dec-18,870700,846300,24400
Alpine,2018,December,Dec-18,680,650,20
Amador,2018,December,Dec-18,14770,14210,560
Butte,2018,December,Dec-18,106800,101100,5700
Calaveras,2018,December,Dec-18,21810,20980,830
Colusa,2018,December,Dec-18,10790,9100,1700
Contra Costa,2018,December,Dec-18,578800,561700,17200
Del Norte,2018,December,Dec-18,9960,9340,620
El Dorado,2018,December,Dec-18,92300,89000,3300
Fresno,2018,December,Dec-18,455300,421100,34200
Glenn,2018,December,Dec-18,12860,12000,860
Humboldt,2018,December,Dec-18,63900,61600,2300
Imperial,2018,December,Dec-18,75400,62400,13000
Inyo,2018,December,Dec-18,8890,8520,370
Kern,2018,December,Dec-18,385500,356000,29500
Kings,2018,December,Dec-18,57900,53200,4700
Lake,2018,December,Dec-18,29510,27860,1650
Lassen,2018,December,Dec-18,9840,9360,480
Los Angeles,2018,December,Dec-18,5188700,4948800,239900
Madera,2018,December,Dec-18,62300,57900,4400
Marin,2018,December,Dec-18,146100,142800,3200
Mariposa,2018,December,Dec-18,7150,6740,410
Mendocino,2018,December,Dec-18,40050,38350,1700
Merced,2018,December,Dec-18,118500,108800,9700
Modoc,2018,December,Dec-18,3140,2870,270
Mono,2018,December,Dec-18,9990,9670,330
Monterey,2018,December,Dec-18,212000,194900,17100
Napa,2018,December,Dec-18,71500,69200,2400
Nevada,2018,December,Dec-18,49470,47810,1670
Orange,2018,December,Dec-18,1639300,1593400,45900
Placer,2018,December,Dec-18,186800,181000,5800
Plumas,2018,December,Dec-18,7550,6890,650
Riverside,2018,December,Dec-18,1109500,1063600,45900
Sacramento,2018,December,Dec-18,717900,691600,26300
San Benito,2018,December,Dec-18,31200,29600,1600
San Bernardino,2018,December,Dec-18,983500,946500,37000
San Diego,2018,December,Dec-18,1620100,1568300,51800
San Francisco,2018,December,Dec-18,585500,572800,12700
San Joaquin,2018,December,Dec-18,332600,312400,20200
San Luis Obispo,2018,December,Dec-18,142500,138400,4100
San Mateo,2018,December,Dec-18,466200,456700,9500
Santa Barbara,2018,December,Dec-18,218100,209300,8800
Santa Clara,2018,December,Dec-18,1084700,1058800,25900
Santa Cruz,2018,December,Dec-18,144200,136500,7600
Shasta,2018,December,Dec-18,75700,72100,3700
Sierra,2018,December,Dec-18,1300,1230,70
Siskiyou,2018,December,Dec-18,17820,16580,1240
Solano,2018,December,Dec-18,213200,205000,8200
Sonoma,2018,December,Dec-18,268000,261000,7000
Stanislaus,2018,December,Dec-18,244000,228700,15400
Sutter,2018,December,Dec-18,45300,41700,3700
Tehama,2018,December,Dec-18,26080,24620,1460
Trinity,2018,December,Dec-18,4920,4660,260
Tulare,2018,December,Dec-18,206500,186600,19800
Tuolumne,2018,December,Dec-18,21830,20860,980
Ventura,2018,December,Dec-18,434600,418100,16400
Yolo,2018,December,Dec-18,109300,104500,4800
Yuba,2018,December,Dec-18,28900,27000,1900
Alameda,2018,November,Nov-18,869500,845200,24400
Alpine,2018,November,Nov-18,600,580,20
Amador,2018,November,Nov-18,14850,14330,530
Butte,2018,November,Nov-18,106500,101900,4600
Calaveras,2018,November,Nov-18,21830,21050,780
Colusa,2018,November,Nov-18,10810,9510,1300
Contra Costa,2018,November,Nov-18,578100,561200,16900
Del Norte,2018,November,Nov-18,9950,9410,540
El Dorado,2018,November,Nov-18,92200,89100,3100
Fresno,2018,November,Nov-18,454400,423100,31300
Glenn,2018,November,Nov-18,12920,12210,710
Humboldt,2018,November,Nov-18,64400,62300,2100
Imperial,2018,November,Nov-18,75900,62100,13700
Inyo,2018,November,Nov-18,8860,8530,330
Kern,2018,November,Nov-18,388000,362300,25700
Kings,2018,November,Nov-18,57600,53500,4000
Lake,2018,November,Nov-18,29850,28400,1450
Lassen,2018,November,Nov-18,9980,9570,410
Los Angeles,2018,November,Nov-18,5203600,4963200,240400
Madera,2018,November,Nov-18,60700,56900,3800
Marin,2018,November,Nov-18,145600,142400,3200
Mariposa,2018,November,Nov-18,7300,6940,360
Mendocino,2018,November,Nov-18,40130,38650,1480
Merced,2018,November,Nov-18,119000,111000,7900
Modoc,2018,November,Nov-18,3160,2950,200
Mono,2018,November,Nov-18,8690,8340,350
Monterey,2018,November,Nov-18,220500,209600,10900
Napa,2018,November,Nov-18,72900,70900,2000
Nevada,2018,November,Nov-18,49200,47580,1610
Orange,2018,November,Nov-18,1644400,1599000,45400
Placer,2018,November,Nov-18,186700,181000,5600
Plumas,2018,November,Nov-18,7680,7190,490
Riverside,2018,November,Nov-18,1111300,1065500,45800
Sacramento,2018,November,Nov-18,717000,691700,25400
San Benito,2018,November,Nov-18,31100,29700,1400
San Bernardino,2018,November,Nov-18,985100,948400,36700
San Diego,2018,November,Nov-18,1623100,1571800,51300
San Francisco,2018,November,Nov-18,583600,570800,12700
San Joaquin,2018,November,Nov-18,331800,313600,18200
San Luis Obispo,2018,November,Nov-18,145400,141500,3900
San Mateo,2018,November,Nov-18,464700,455200,9500
Santa Barbara,2018,November,Nov-18,220300,212800,7500
Santa Clara,2018,November,Nov-18,1082200,1056600,25600
Santa Cruz,2018,November,Nov-18,145800,139900,6000
Shasta,2018,November,Nov-18,76100,72800,3300
Sierra,2018,November,Nov-18,1320,1260,60
Siskiyou,2018,November,Nov-18,18030,17020,1010
Solano,2018,November,Nov-18,212500,204900,7600
Sonoma,2018,November,Nov-18,268400,261800,6700
Stanislaus,2018,November,Nov-18,245300,231400,14000
Sutter,2018,November,Nov-18,45300,42300,3000
Tehama,2018,November,Nov-18,26400,25130,1260
Trinity,2018,November,Nov-18,4980,4750,230
Tulare,2018,November,Nov-18,206500,188700,17800
Tuolumne,2018,November,Nov-18,21860,20970,890
Ventura,2018,November,Nov-18,433800,417800,16100
Yolo,2018,November,Nov-18,108700,104500,4200
Yuba,2018,November,Nov-18,28900,27200,1700
Alameda,2018,October,Oct-18,863600,838600,25000
Alpine,2018,October,Oct-18,460,440,20
Amador,2018,October,Oct-18,14940,14400,540
Butte,2018,October,Oct-18,107100,102600,4500
Calaveras,2018,October,Oct-18,21860,21060,800
Colusa,2018,October,Oct-18,11220,10320,910
Contra Costa,2018,October,Oct-18,574400,557100,17300
Del Norte,2018,October,Oct-18,10070,9560,520
El Dorado,2018,October,Oct-18,91500,88400,3100
Fresno,2018,October,Oct-18,452900,424200,28700
Glenn,2018,October,Oct-18,13180,12530,650
Humboldt,2018,October,Oct-18,64300,62200,2100
Imperial,2018,October,Oct-18,75200,60900,14300
Inyo,2018,October,Oct-18,8860,8550,310
Kern,2018,October,Oct-18,390600,365000,25600
Kings,2018,October,Oct-18,57200,53600,3600
Lake,2018,October,Oct-18,30080,28670,1410
Lassen,2018,October,Oct-18,10790,10390,400
Los Angeles,2018,October,Oct-18,5182500,4939200,243300
Madera,2018,October,Oct-18,61200,57600,3600
Marin,2018,October,Oct-18,145400,142000,3400
Mariposa,2018,October,Oct-18,7710,7370,340
Mendocino,2018,October,Oct-18,40550,39130,1420
Merced,2018,October,Oct-18,120300,113000,7300
Modoc,2018,October,Oct-18,3240,3070,170
Mono,2018,October,Oct-18,8600,8240,360
Monterey,2018,October,Oct-18,225900,216500,9400
Napa,2018,October,Oct-18,75200,73300,2000
Nevada,2018,October,Oct-18,48970,47380,1600
Orange,2018,October,Oct-18,1636300,1589200,47100
Placer,2018,October,Oct-18,185200,179500,5700
Plumas,2018,October,Oct-18,7970,7560,410
Riverside,2018,October,Oct-18,1099700,1051700,48100
Sacramento,2018,October,Oct-18,711600,685600,26000
San Benito,2018,October,Oct-18,31000,29700,1300
San Bernardino,2018,October,Oct-18,973700,935900,37800
San Diego,2018,October,Oct-18,1613100,1560600,52500
San Francisco,2018,October,Oct-18,578700,565500,13200
San Joaquin,2018,October,Oct-18,332400,315100,17300
San Luis Obispo,2018,October,Oct-18,145100,141100,4000
San Mateo,2018,October,Oct-18,460800,451000,9800
Santa Barbara,2018,October,Oct-18,220100,212700,7400
Santa Clara,2018,October,Oct-18,1074000,1047500,26500
Santa Cruz,2018,October,Oct-18,147300,142100,5200
Shasta,2018,October,Oct-18,76600,73300,3300
Sierra,2018,October,Oct-18,1360,1300,70
Siskiyou,2018,October,Oct-18,18520,17580,940
Solano,2018,October,Oct-18,211300,203600,7700
Sonoma,2018,October,Oct-18,270900,264100,6800
Stanislaus,2018,October,Oct-18,244900,231600,13300
Sutter,2018,October,Oct-18,45400,42800,2600
Tehama,2018,October,Oct-18,26880,25640,1240
Trinity,2018,October,Oct-18,5070,4850,220
Tulare,2018,October,Oct-18,204800,187800,17100
Tuolumne,2018,October,Oct-18,21790,20910,880
Ventura,2018,October,Oct-18,431200,415300,15900
Yolo,2018,October,Oct-18,108100,104200,3900
Yuba,2018,October,Oct-18,28800,27200,1600
Alameda,2018,September,Sep-18,860200,836100,24100
Alpine,2018,September,Sep-18,470,450,20
Amador,2018,September,Sep-18,14950,14440,510
Butte,2018,September,Sep-18,105600,101300,4300
Calaveras,2018,September,Sep-18,21850,21090,760
Colusa,2018,September,Sep-18,11200,10410,800
Contra Costa,2018,September,Sep-18,571800,555100,16700
Del Norte,2018,September,Sep-18,10100,9620,480
El Dorado,2018,September,Sep-18,90700,87800,2900
Fresno,2018,September,Sep-18,455200,428600,26700
Glenn,2018,September,Sep-18,13100,12410,690
Humboldt,2018,September,Sep-18,63700,61700,2000
Imperial,2018,September,Sep-18,74200,59900,14300
Inyo,2018,September,Sep-18,8900,8600,300
Kern,2018,September,Sep-18,389500,363900,25500
Kings,2018,September,Sep-18,57500,54100,3500
Lake,2018,September,Sep-18,30360,29040,1330
Lassen,2018,September,Sep-18,10240,9850,390
Los Angeles,2018,September,Sep-18,5167500,4919400,248000
Madera,2018,September,Sep-18,62200,58800,3400
Marin,2018,September,Sep-18,144700,141400,3200
Mariposa,2018,September,Sep-18,8160,7850,310
Mendocino,2018,September,Sep-18,40500,39140,1360
Merced,2018,September,Sep-18,120700,113600,7100
Modoc,2018,September,Sep-18,3160,2990,170
Mono,2018,September,Sep-18,8910,8600,310
Monterey,2018,September,Sep-18,229000,220100,8900
Napa,2018,September,Sep-18,75000,73100,1900
Nevada,2018,September,Sep-18,48620,47060,1560
Orange,2018,September,Sep-18,1628700,1583100,45600
Placer,2018,September,Sep-18,183800,178300,5500
Plumas,2018,September,Sep-18,8090,7710,380
Riverside,2018,September,Sep-18,1090800,1043400,47400
Sacramento,2018,September,Sep-18,706800,681600,25200
San Benito,2018,September,Sep-18,30700,29500,1200
San Bernardino,2018,September,Sep-18,966000,929300,36700
San Diego,2018,September,Sep-18,1602400,1551900,50500
San Francisco,2018,September,Sep-18,576700,563900,12800
San Joaquin,2018,September,Sep-18,332800,316100,16600
San Luis Obispo,2018,September,Sep-18,142300,138400,3900
San Mateo,2018,September,Sep-18,459000,449500,9600
Santa Barbara,2018,September,Sep-18,217300,210200,7100
Santa Clara,2018,September,Sep-18,1068500,1042700,25800
Santa Cruz,2018,September,Sep-18,145100,140000,5000
Shasta,2018,September,Sep-18,75600,72400,3200
Sierra,2018,September,Sep-18,1350,1290,60
Siskiyou,2018,September,Sep-18,18370,17470,900
Solano,2018,September,Sep-18,211500,204100,7400
Sonoma,2018,September,Sep-18,271000,264400,6600
Stanislaus,2018,September,Sep-18,245100,232200,12800
Sutter,2018,September,Sep-18,45600,43200,2500
Tehama,2018,September,Sep-18,26770,25520,1250
Trinity,2018,September,Sep-18,5180,4970,210
Tulare,2018,September,Sep-18,207300,191000,16400
Tuolumne,2018,September,Sep-18,21790,20940,850
Ventura,2018,September,Sep-18,426800,411200,15700
Yolo,2018,September,Sep-18,107400,103700,3700
Yuba,2018,September,Sep-18,28800,27200,1600
Alameda,2018,August,Aug-18,848900,822700,26100
Alpine,2018,August,Aug-18,470,450,20
Amador,2018,August,Aug-18,14740,14190,550
Butte,2018,August,Aug-18,103100,98400,4800
Calaveras,2018,August,Aug-18,21760,20940,820
Colusa,2018,August,Aug-18,11190,10290,900
Contra Costa,2018,August,Aug-18,564200,546100,18100
Del Norte,2018,August,Aug-18,9940,9410,530
El Dorado,2018,August,Aug-18,90100,87000,3200
Fresno,2018,August,Aug-18,451600,422300,29300
Glenn,2018,August,Aug-18,12800,12010,780
Humboldt,2018,August,Aug-18,61900,59700,2200
Imperial,2018,August,Aug-18,73900,58800,15100
Inyo,2018,August,Aug-18,8900,8590,320
Kern,2018,August,Aug-18,386000,358000,28000
Kings,2018,August,Aug-18,57500,53700,3800
Lake,2018,August,Aug-18,30240,28800,1440
Lassen,2018,August,Aug-18,9890,9460,430
Los Angeles,2018,August,Aug-18,5141500,4879200,262200
Madera,2018,August,Aug-18,61300,57500,3800
Marin,2018,August,Aug-18,142400,138900,3500
Mariposa,2018,August,Aug-18,8310,7890,420
Mendocino,2018,August,Aug-18,40110,38640,1460
Merced,2018,August,Aug-18,117200,109100,8100
Modoc,2018,August,Aug-18,3160,2980,190
Mono,2018,August,Aug-18,9140,8820,320
Monterey,2018,August,Aug-18,228500,218700,9800
Napa,2018,August,Aug-18,73900,71900,2000
Nevada,2018,August,Aug-18,48550,46900,1660
Orange,2018,August,Aug-18,1604400,1554900,49600
Placer,2018,August,Aug-18,182600,176700,5800
Plumas,2018,August,Aug-18,8190,7760,420
Riverside,2018,August,Aug-18,1080100,1029000,51100
Sacramento,2018,August,Aug-18,703300,675900,27400
San Benito,2018,August,Aug-18,30500,29100,1400
San Bernardino,2018,August,Aug-18,957000,917300,39700
San Diego,2018,August,Aug-18,1584500,1530200,54300
San Francisco,2018,August,Aug-18,570600,556800,13800
San Joaquin,2018,August,Aug-18,327600,309500,18000
San Luis Obispo,2018,August,Aug-18,138400,134200,4200
San Mateo,2018,August,Aug-18,454100,443800,10400
Santa Barbara,2018,August,Aug-18,215400,207700,7700
Santa Clara,2018,August,Aug-18,1058200,1030400,27700
Santa Cruz,2018,August,Aug-18,145000,139400,5600
Shasta,2018,August,Aug-18,74900,71400,3500
Sierra,2018,August,Aug-18,1320,1250,70
Siskiyou,2018,August,Aug-18,18180,17210,980
Solano,2018,August,Aug-18,207600,199500,8000
Sonoma,2018,August,Aug-18,265900,258700,7200
Stanislaus,2018,August,Aug-18,245000,230700,14300
Sutter,2018,August,Aug-18,46500,43800,2700
Tehama,2018,August,Aug-18,25800,24390,1410
Trinity,2018,August,Aug-18,5310,5090,220
Tulare,2018,August,Aug-18,207700,189700,18000
Tuolumne,2018,August,Aug-18,21560,20650,910
Ventura,2018,August,Aug-18,421800,405300,16500
Yolo,2018,August,Aug-18,107500,103300,4100
Yuba,2018,August,Aug-18,28600,26900,1700
Alameda,2018,July,Jul-18,853400,826400,27000
Alpine,2018,July,Jul-18,470,440,30
Amador,2018,July,Jul-18,14760,14190,570
Butte,2018,July,Jul-18,103500,98300,5200
Calaveras,2018,July,Jul-18,21760,20900,850
Colusa,2018,July,Jul-18,11130,9970,1160
Contra Costa,2018,July,Jul-18,567200,548400,18700
Del Norte,2018,July,Jul-18,9950,9410,540
El Dorado,2018,July,Jul-18,90500,87300,3300
Fresno,2018,July,Jul-18,457600,425100,32500
Glenn,2018,July,Jul-18,12690,11800,890
Humboldt,2018,July,Jul-18,61900,59500,2400
Imperial,2018,July,Jul-18,72000,58300,13700
Inyo,2018,July,Jul-18,8960,8620,340
Kern,2018,July,Jul-18,385300,353900,31400
Kings,2018,July,Jul-18,58000,53700,4300
Lake,2018,July,Jul-18,29500,28040,1460
Lassen,2018,July,Jul-18,9930,9480,450
Los Angeles,2018,July,Jul-18,5179800,4916700,263200
Madera,2018,July,Jul-18,61000,56700,4200
Marin,2018,July,Jul-18,142700,139100,3600
Mariposa,2018,July,Jul-18,8340,7980,370
Mendocino,2018,July,Jul-18,39880,38390,1490
Merced,2018,July,Jul-18,115700,106500,9300
Modoc,2018,July,Jul-18,3320,3120,200
Mono,2018,July,Jul-18,9230,8910,330
Monterey,2018,July,Jul-18,231900,221000,10900
Napa,2018,July,Jul-18,74700,72500,2200
Nevada,2018,July,Jul-18,48300,46560,1740
Orange,2018,July,Jul-18,1612200,1560800,51400
Placer,2018,July,Jul-18,183400,177300,6100
Plumas,2018,July,Jul-18,8270,7790,480
Riverside,2018,July,Jul-18,1082300,1031100,51200
Sacramento,2018,July,Jul-18,706700,678300,28400
San Benito,2018,July,Jul-18,30700,29200,1500
San Bernardino,2018,July,Jul-18,960200,917900,42300
San Diego,2018,July,Jul-18,1592300,1536000,56300
San Francisco,2018,July,Jul-18,574200,560200,14100
San Joaquin,2018,July,Jul-18,327400,307900,19500
San Luis Obispo,2018,July,Jul-18,142000,137500,4500
San Mateo,2018,July,Jul-18,457000,446400,10600
Santa Barbara,2018,July,Jul-18,217300,209200,8200
Santa Clara,2018,July,Jul-18,1064300,1035600,28700
Santa Cruz,2018,July,Jul-18,147400,141200,6200
Shasta,2018,July,Jul-18,74300,70700,3700
Sierra,2018,July,Jul-18,1330,1260,70
Siskiyou,2018,July,Jul-18,18620,17560,1060
Solano,2018,July,Jul-18,208100,199700,8500
Sonoma,2018,July,Jul-18,265200,257600,7500
Stanislaus,2018,July,Jul-18,246000,229600,16400
Sutter,2018,July,Jul-18,46600,43500,3100
Tehama,2018,July,Jul-18,25500,23950,1550
Trinity,2018,July,Jul-18,5170,4930,240
Tulare,2018,July,Jul-18,208300,188800,19500
Tuolumne,2018,July,Jul-18,21780,20820,960
Ventura,2018,July,Jul-18,422700,406200,16400
Yolo,2018,July,Jul-18,108400,103900,4400
Yuba,2018,July,Jul-18,28600,26800,1900
Alameda,2018,June,Jun-18,845700,817500,28200
Alpine,2018,June,Jun-18,460,430,30
Amador,2018,June,Jun-18,14800,14190,610
Butte,2018,June,Jun-18,102900,97500,5500
Calaveras,2018,June,Jun-18,21570,20680,890
Colusa,2018,June,Jun-18,10830,9550,1280
Contra Costa,2018,June,Jun-18,561900,542200,19700
Del Norte,2018,June,Jun-18,9910,9350,560
El Dorado,2018,June,Jun-18,89800,86300,3500
Fresno,2018,June,Jun-18,455400,420800,34500
Glenn,2018,June,Jun-18,12730,11840,890
Humboldt,2018,June,Jun-18,62670,60190,2480
Imperial,2018,June,Jun-18,73500,60100,13300
Inyo,2018,June,Jun-18,8810,8460,350
Kern,2018,June,Jun-18,386900,353200,33700
Kings,2018,June,Jun-18,57800,53000,4800
Lake,2018,June,Jun-18,29440,27880,1560
Lassen,2018,June,Jun-18,9960,9480,480
Los Angeles,2018,June,Jun-18,5141500,4892900,248600
Madera,2018,June,Jun-18,61600,57100,4500
Marin,2018,June,Jun-18,139800,136000,3800
Mariposa,2018,June,Jun-18,8220,7830,400
Mendocino,2018,June,Jun-18,39410,37830,1580
Merced,2018,June,Jun-18,117600,107500,10100
Modoc,2018,June,Jun-18,3400,3180,220
Mono,2018,June,Jun-18,8860,8510,350
Monterey,2018,June,Jun-18,230800,218800,12000
Napa,2018,June,Jun-18,74200,71900,2300
Nevada,2018,June,Jun-18,48370,46530,1850
Orange,2018,June,Jun-18,1604600,1551100,53500
Placer,2018,June,Jun-18,181900,175500,6400
Plumas,2018,June,Jun-18,8170,7640,530
Riverside,2018,June,Jun-18,1077900,1026000,51900
Sacramento,2018,June,Jun-18,701300,671700,29600
San Benito,2018,June,Jun-18,30500,28900,1600
San Bernardino,2018,June,Jun-18,955300,911800,43500
San Diego,2018,June,Jun-18,1584000,1525500,58400
San Francisco,2018,June,Jun-18,565700,550700,15100
San Joaquin,2018,June,Jun-18,324200,303600,20500
San Luis Obispo,2018,June,Jun-18,144200,139500,4700
San Mateo,2018,June,Jun-18,450000,438700,11200
Santa Barbara,2018,June,Jun-18,218500,210000,8600
Santa Clara,2018,June,Jun-18,1054400,1023900,30500
Santa Cruz,2018,June,Jun-18,148200,141500,6700
Shasta,2018,June,Jun-18,74800,71000,3800
Sierra,2018,June,Jun-18,1360,1290,70
Siskiyou,2018,June,Jun-18,18170,17050,1120
Solano,2018,June,Jun-18,207300,198500,8800
Sonoma,2018,June,Jun-18,263500,255500,8000
Stanislaus,2018,June,Jun-18,243000,225600,17500
Sutter,2018,June,Jun-18,45900,42500,3500
Tehama,2018,June,Jun-18,25770,24220,1540
Trinity,2018,June,Jun-18,5240,4960,280
Tulare,2018,June,Jun-18,211300,190900,20400
Tuolumne,2018,June,Jun-18,21560,20540,1030
Ventura,2018,June,Jun-18,424400,407600,16800
Yolo,2018,June,Jun-18,107500,102800,4700
Yuba,2018,June,Jun-18,28600,26700,1900
Alameda,2018,May,May-18,842500,820500,22000
Alpine,2018,May,May-18,450,430,20
Amador,2018,May,May-18,14650,14140,510
Butte,2018,May,May-18,103200,98800,4400
Calaveras,2018,May,May-18,21310,20560,750
Colusa,2018,May,May-18,10640,9410,1230
Contra Costa,2018,May,May-18,560000,544600,15400
Del Norte,2018,May,May-18,9770,9300,470
El Dorado,2018,May,May-18,89300,86500,2800
Fresno,2018,May,May-18,454000,423100,30900
Glenn,2018,May,May-18,12740,11980,760
Humboldt,2018,May,May-18,63110,61200,1910
Imperial,2018,May,May-18,72000,60700,11300
Inyo,2018,May,May-18,8670,8370,300
Kern,2018,May,May-18,381100,351600,29500
Kings,2018,May,May-18,57900,53900,4000
Lake,2018,May,May-18,29430,28120,1310
Lassen,2018,May,May-18,9910,9510,410
Los Angeles,2018,May,May-18,5128200,4920000,208200
Madera,2018,May,May-18,61800,57800,4000
Marin,2018,May,May-18,140100,137200,2900
Mariposa,2018,May,May-18,7650,7300,350
Mendocino,2018,May,May-18,39760,38490,1280
Merced,2018,May,May-18,116500,107500,9000
Modoc,2018,May,May-18,3290,3080,200
Mono,2018,May,May-18,8390,8090,300
Monterey,2018,May,May-18,226500,214500,12000
Napa,2018,May,May-18,73800,71900,1800
Nevada,2018,May,May-18,47490,45970,1520
Orange,2018,May,May-18,1600100,1558900,41200
Placer,2018,May,May-18,180700,175700,5000
Plumas,2018,May,May-18,7750,7240,510
Riverside,2018,May,May-18,1070700,1030400,40300
Sacramento,2018,May,May-18,695100,671800,23300
San Benito,2018,May,May-18,30200,28800,1400
San Bernardino,2018,May,May-18,949400,915700,33700
San Diego,2018,May,May-18,1576800,1531600,45200
San Francisco,2018,May,May-18,564000,552200,11800
San Joaquin,2018,May,May-18,328000,310700,17400
San Luis Obispo,2018,May,May-18,143200,139600,3600
San Mateo,2018,May,May-18,448800,440200,8600
Santa Barbara,2018,May,May-18,217700,210800,6800
Santa Clara,2018,May,May-18,1043800,1020300,23600
Santa Cruz,2018,May,May-18,145800,139500,6200
Shasta,2018,May,May-18,73800,70600,3200
Sierra,2018,May,May-18,1300,1240,60
Siskiyou,2018,May,May-18,17860,16890,980
Solano,2018,May,May-18,207100,200000,7100
Sonoma,2018,May,May-18,262400,256200,6200
Stanislaus,2018,May,May-18,242500,227800,14700
Sutter,2018,May,May-18,45400,42300,3100
Tehama,2018,May,May-18,25580,24270,1310
Trinity,2018,May,May-18,5080,4830,250
Tulare,2018,May,May-18,210500,192700,17800
Tuolumne,2018,May,May-18,21260,20400,870
Ventura,2018,May,May-18,424300,410900,13400
Yolo,2018,May,May-18,106400,102600,3800
Yuba,2018,May,May-18,28400,26700,1600
Alameda,2018,April,Apr-18,841600,819100,22500
Alpine,2018,April,Apr-18,490,480,20
Amador,2018,April,Apr-18,14530,13960,560
Butte,2018,April,Apr-18,103000,98200,4800
Calaveras,2018,April,Apr-18,21190,20390,810
Colusa,2018,April,Apr-18,10540,8960,1580
Contra Costa,2018,April,Apr-18,559500,543600,15900
Del Norte,2018,April,Apr-18,9720,9220,500
El Dorado,2018,April,Apr-18,89300,86300,3000
Fresno,2018,April,Apr-18,450700,417000,33700
Glenn,2018,April,Apr-18,12760,11940,830
Humboldt,2018,April,Apr-18,63070,60970,2100
Imperial,2018,April,Apr-18,69800,59600,10200
Inyo,2018,April,Apr-18,8640,8320,320
Kern,2018,April,Apr-18,377400,346000,31300
Kings,2018,April,Apr-18,57300,52700,4600
Lake,2018,April,Apr-18,29610,28140,1470
Lassen,2018,April,Apr-18,9810,9320,480
Los Angeles,2018,April,Apr-18,5136800,4929100,207700
Madera,2018,April,Apr-18,60600,56200,4400
Marin,2018,April,Apr-18,139300,136300,3000
Mariposa,2018,April,Apr-18,7280,6880,400
Mendocino,2018,April,Apr-18,39650,38140,1510
Merced,2018,April,Apr-18,115900,105800,10000
Modoc,2018,April,Apr-18,3270,3040,240
Mono,2018,April,Apr-18,8730,8460,270
Monterey,2018,April,Apr-18,222200,207300,15000
Napa,2018,April,Apr-18,72700,70600,2100
Nevada,2018,April,Apr-18,48110,46540,1570
Orange,2018,April,Apr-18,1603400,1561400,42000
Placer,2018,April,Apr-18,180600,175400,5300
Plumas,2018,April,Apr-18,7450,6790,670
Riverside,2018,April,Apr-18,1070700,1029500,41200
Sacramento,2018,April,Apr-18,694600,670400,24200
San Benito,2018,April,Apr-18,30100,28600,1600
San Bernardino,2018,April,Apr-18,949100,914700,34300
